Source,Target,Weight,Passes,Type
101106,201973,0,6,Directed
101106,2733,0,2,Directed
1627745,1629094,0,1,Directed
1627745,1626172,0,5,Directed
1627745,1627814,0,5,Directed
101106,2738,0,6,Directed
1627745,201973,0,14,Directed
1627745,203110,0,43,Directed
201973,1627745,0,2,Directed
1628035,1627814,0,19,Directed
1628035,1628395,0,31,Directed
203110,101106,0,15,Directed
1628035,1628980,0,35,Directed
203110,1628980,0,6,Directed
201973,2733,0,214,Directed
201973,101106,0,4,Directed
201973,202326,0,12,Directed
101106,1627814,0,5,Directed
101106,1626188,0,13,Directed
1627745,1628035,0,1,Directed
1627745,1628395,0,3,Directed
1627745,2733,0,2,Directed
1628035,2738,0,76,Directed
1628035,101106,0,3,Directed
201939,1628413,0,1,Directed
1629094,2733,0,4,Directed
1629094,201142,0,3,Directed
1629094,201939,0,2,Directed
1629094,1626188,0,18,Directed
1629094,1627814,0,1,Directed
1629094,1627745,0,1,Directed
1629094,1628035,0,2,Directed
1629094,1628395,0,2,Directed
1629094,1628980,0,7,Directed
201939,1629094,0,2,Directed
1628035,2733,0,83,Directed
2733,1627745,0,1,Directed
2733,101106,0,2,Directed
2733,1628980,0,5,Directed
2733,1629094,0,3,Directed
201142,1628980,0,3,Directed
