PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_NAME,TEAM_ID,TEAM_ABBREVIATION,PASS_TYPE,G,PASS_TO,PASS_TEAMMATE_PLAYER_ID,FREQUENCY,PASS,AST,FGM,FGA,FG_PCT,FG2M,FG2A,FG2_PCT,FG3M,FG3A,FG3_PCT,PLAYER_NAME
1628392,"Hartenstein, Isaiah",Houston Rockets,1610612745,HOU,made,28,"House Jr., Danuel",1627863,0.033,8,3,3,4,0.75,1,1,1.0,2,3,0.667,Isaiah Hartenstein
1628392,"Hartenstein, Isaiah",Houston Rockets,1610612745,HOU,made,28,"Ennis III, James",203516,0.012,3,0,0,0,0.0,0,0,0.0,0,0,0.0,Isaiah Hartenstein
1628392,"Hartenstein, Isaiah",Houston Rockets,1610612745,HOU,made,28,"Carter-Williams, Michael",203487,0.124,30,1,3,5,0.6,3,5,0.6,0,0,0.0,Isaiah Hartenstein
1628392,"Hartenstein, Isaiah",Houston Rockets,1610612745,HOU,made,28,"Rivers, Austin",203085,0.05,12,1,1,4,0.25,0,2,0.0,1,2,0.5,Isaiah Hartenstein
1628392,"Hartenstein, Isaiah",Houston Rockets,1610612745,HOU,made,28,"Shumpert, Iman",202697,0.008,2,0,0,1,0.0,0,0,0.0,0,1,0.0,Isaiah Hartenstein
1628392,"Hartenstein, Isaiah",Houston Rockets,1610612745,HOU,made,28,"Harden, James",201935,0.27,65,0,6,18,0.333,2,8,0.25,4,10,0.4,Isaiah Hartenstein
1628392,"Hartenstein, Isaiah",Houston Rockets,1610612745,HOU,made,28,"Gordon, Eric",201569,0.083,20,2,3,5,0.6,1,2,0.5,2,3,0.667,Isaiah Hartenstein
1628392,"Hartenstein, Isaiah",Houston Rockets,1610612745,HOU,made,28,"Tucker, P.J.",200782,0.029,7,2,2,5,0.4,1,3,0.333,1,2,0.5,Isaiah Hartenstein
1628392,"Hartenstein, Isaiah",Houston Rockets,1610612745,HOU,made,28,"Green, Gerald",101123,0.091,22,4,5,8,0.625,1,2,0.5,4,6,0.667,Isaiah Hartenstein
1628392,"Hartenstein, Isaiah",Houston Rockets,1610612745,HOU,made,28,"Paul, Chris",101108,0.249,60,1,11,15,0.733,7,8,0.875,4,7,0.571,Isaiah Hartenstein
1628392,"Hartenstein, Isaiah",Houston Rockets,1610612745,HOU,made,28,"Anthony, Carmelo",2546,0.012,3,1,1,3,0.333,1,2,0.5,0,1,0.0,Isaiah Hartenstein
