Source,Target,Weight,Passes,Type
203085,202322,4,106,Directed
203085,201160,1,15,Directed
203085,201145,11,97,Directed
203085,101133,0,21,Directed
203085,2730,0,4,Directed
202702,1629066,0,5,Directed
202702,1629058,0,5,Directed
202702,1629033,1,14,Directed
202702,1626203,0,2,Directed
202702,1626178,0,7,Directed
202702,1626156,0,8,Directed
202702,203915,0,12,Directed
202702,203894,0,53,Directed
202702,203459,0,6,Directed
202702,202334,0,4,Directed
202702,201960,0,3,Directed
202702,201162,1,3,Directed
202702,1629185,1,18,Directed
202702,1629109,0,7,Directed
202702,1627863,1,11,Directed
202702,203991,1,4,Directed
202702,203516,0,8,Directed
202702,203085,0,82,Directed
202702,202697,0,5,Directed
202702,201935,4,282,Directed
202702,201569,3,63,Directed
202702,200782,2,21,Directed
202702,101123,2,31,Directed
202702,101108,4,187,Directed
202702,2403,0,1,Directed
2403,1629109,1,9,Directed
2403,1627863,3,28,Directed
2403,203516,3,6,Directed
2403,203487,1,14,Directed
2403,203263,0,1,Directed
2403,203085,3,89,Directed
2403,202702,0,1,Directed
2403,202697,1,9,Directed
2403,202688,0,19,Directed
2403,201935,4,221,Directed
2403,201569,5,50,Directed
2403,200782,0,11,Directed
2403,101123,4,38,Directed
2403,101108,1,102,Directed
1628392,1629109,0,9,Directed
1628392,1627863,3,8,Directed
1628392,203516,0,3,Directed
1628392,203487,1,30,Directed
1628392,203085,1,12,Directed
1628392,202697,0,2,Directed
1628392,201935,0,65,Directed
1628392,201569,2,20,Directed
1628392,200782,2,7,Directed
1628392,101123,4,22,Directed
1628392,101108,1,60,Directed
1628392,2546,1,3,Directed
