PLAYER_ID,PLAYER_NAME_LAST_FIRST,PASS_TO,PASS_TEAMMATE_PLAYER_ID,PASS,AST
201569,"Gordon, Eric","Faried, Kenneth",202702,55,8
201569,"Gordon, Eric","Shumpert, Iman",202697,8,1
201569,"Gordon, Eric","Knight, Brandon",202688,5,0
201569,"Gordon, Eric","Harden, James",201935,397,5
201569,"Gordon, Eric","Tucker, P.J.",200782,147,18
201569,"Gordon, Eric","Green, Gerald",101123,62,18
201569,"Gordon, Eric","Paul, Chris",101108,326,6
201569,"Gordon, Eric","Anthony, Carmelo",2546,18,3
201569,"Gordon, Eric",Nene,2403,40,5
1629053,"Edwards, Vincent","Clark, Gary",1629109,2,0
1629053,"Edwards, Vincent","Ennis III, James",203516,1,0
1629053,"Edwards, Vincent","Green, Gerald",101123,5,0
201935,"Harden, James","Clark, Gary",1629109,71,13
201935,"Harden, James","Hartenstein, Isaiah",1628392,28,5
201935,"Harden, James","House Jr., Danuel",1627863,187,38
201935,"Harden, James","Chriss, Marquese",1627737,4,1
201935,"Harden, James","Capela, Clint",203991,685,220
201935,"Harden, James","Ennis III, James",203516,162,27
201935,"Harden, James","Carter-Williams, Michael",203487,20,3
201935,"Harden, James","Nunnally, James",203263,4,1
201935,"Harden, James","Jones, Terrence",203093,1,0
201935,"Harden, James","Rivers, Austin",203085,319,20
201935,"Harden, James","Faried, Kenneth",202702,141,35
201935,"Harden, James","Shumpert, Iman",202697,59,6
201935,"Harden, James","Knight, Brandon",202688,7,0
201935,"Harden, James","Gordon, Eric",201569,584,69
201935,"Harden, James","Tucker, P.J.",200782,561,67
201935,"Harden, James","Green, Gerald",101123,282,46
201935,"Harden, James","Paul, Chris",101108,611,14
201935,"Harden, James","Anthony, Carmelo",2546,58,6
201935,"Harden, James",Nene,2403,80,15
101123,"Green, Gerald","Chiozza, Chris",1629185,9,1
101123,"Green, Gerald","Clark, Gary",1629109,17,3
101123,"Green, Gerald","Edwards, Vincent",1629053,4,0
101123,"Green, Gerald","Hartenstein, Isaiah",1628392,15,1
101123,"Green, Gerald","House Jr., Danuel",1627863,19,2
101123,"Green, Gerald",Zhou Qi,1627753,1,1
101123,"Green, Gerald","Chriss, Marquese",1627737,22,2
101123,"Green, Gerald","Capela, Clint",203991,58,7
101123,"Green, Gerald","Ennis III, James",203516,13,1
101123,"Green, Gerald","Carter-Williams, Michael",203487,33,0
101123,"Green, Gerald","Nunnally, James",203263,2,0
101123,"Green, Gerald","Jones, Terrence",203093,1,0
101123,"Green, Gerald","Rivers, Austin",203085,101,3
101123,"Green, Gerald","Faried, Kenneth",202702,29,2
101123,"Green, Gerald","Shumpert, Iman",202697,10,2
101123,"Green, Gerald","Knight, Brandon",202688,15,0
101123,"Green, Gerald","Harden, James",201935,387,4
101123,"Green, Gerald","Gordon, Eric",201569,69,3
101123,"Green, Gerald","Tucker, P.J.",200782,52,4
101123,"Green, Gerald","Paul, Chris",101108,189,0
101123,"Green, Gerald","Anthony, Carmelo",2546,8,0
101123,"Green, Gerald",Nene,2403,38,3
203991,"Capela, Clint","Chiozza, Chris",1629185,1,0
203991,"Capela, Clint","Clark, Gary",1629109,14,2
203991,"Capela, Clint","House Jr., Danuel",1627863,32,5
203991,"Capela, Clint","Ennis III, James",203516,26,4
203991,"Capela, Clint","Carter-Williams, Michael",203487,46,1
203991,"Capela, Clint","Rivers, Austin",203085,85,5
203991,"Capela, Clint","Faried, Kenneth",202702,1,0
203991,"Capela, Clint","Shumpert, Iman",202697,15,1
203991,"Capela, Clint","Knight, Brandon",202688,32,1
203991,"Capela, Clint","Harden, James",201935,1535,28
203991,"Capela, Clint","Gordon, Eric",201569,230,21
203991,"Capela, Clint","Tucker, P.J.",200782,100,13
203991,"Capela, Clint","Green, Gerald",101123,64,11
203991,"Capela, Clint","Paul, Chris",101108,808,4
203991,"Capela, Clint","Anthony, Carmelo",2546,18,1
200782,"Tucker, P.J.","Clark, Gary",1629109,7,1
200782,"Tucker, P.J.","Hartenstein, Isaiah",1628392,7,0
200782,"Tucker, P.J.","House Jr., Danuel",1627863,39,3
200782,"Tucker, P.J.","Chriss, Marquese",1627737,3,0
200782,"Tucker, P.J.","Capela, Clint",203991,154,14
200782,"Tucker, P.J.","Ennis III, James",203516,39,5
200782,"Tucker, P.J.","Carter-Williams, Michael",203487,22,0
200782,"Tucker, P.J.","Nunnally, James",203263,7,1
200782,"Tucker, P.J.","Rivers, Austin",203085,142,9
200782,"Tucker, P.J.","Faried, Kenneth",202702,27,5
200782,"Tucker, P.J.","Shumpert, Iman",202697,25,1
200782,"Tucker, P.J.","Knight, Brandon",202688,9,1
200782,"Tucker, P.J.","Harden, James",201935,1043,12
200782,"Tucker, P.J.","Gordon, Eric",201569,206,19
200782,"Tucker, P.J.","Green, Gerald",101123,76,15
200782,"Tucker, P.J.","Paul, Chris",101108,455,7
200782,"Tucker, P.J.","Anthony, Carmelo",2546,8,1
200782,"Tucker, P.J.",Nene,2403,26,2
203085,"Rivers, Austin","Chiozza, Chris",1629185,9,0
203085,"Rivers, Austin","Clark, Gary",1629109,27,6
203085,"Rivers, Austin","Hartenstein, Isaiah",1628392,8,0
203085,"Rivers, Austin","House Jr., Danuel",1627863,54,10
203085,"Rivers, Austin","Chriss, Marquese",1627737,9,1
203085,"Rivers, Austin","Capela, Clint",203991,93,3
203085,"Rivers, Austin","Ennis III, James",203516,27,6
203085,"Rivers, Austin","Nunnally, James",203263,7,1
203085,"Rivers, Austin","Jones, Terrence",203093,4,1
203085,"Rivers, Austin","Faried, Kenneth",202702,73,8
203085,"Rivers, Austin","Shumpert, Iman",202697,21,3
203085,"Rivers, Austin","Knight, Brandon",202688,18,1
203085,"Rivers, Austin","Monroe, Greg",202328,1,0
203085,"Rivers, Austin","Harden, James",201935,322,7
203085,"Rivers, Austin","Gordon, Eric",201569,102,19
203085,"Rivers, Austin","Tucker, P.J.",200782,83,13
203085,"Rivers, Austin","Green, Gerald",101123,105,19
203085,"Rivers, Austin","Paul, Chris",101108,101,0
203085,"Rivers, Austin",Nene,2403,85,9
203085,"Rivers, Austin","Brown Jr., Troy",1628972,19,1
203085,"Rivers, Austin","Robinson, Devin",1628421,3,1
203085,"Rivers, Austin","Bryant, Thomas",1628418,17,5
203085,"Rivers, Austin","Oubre Jr., Kelly",1626162,94,12
203085,"Rivers, Austin","Dekker, Sam",1626155,1,0
203085,"Rivers, Austin","McRae, Jordan",203895,4,0
203085,"Rivers, Austin","Porter Jr., Otto",203490,31,3
203085,"Rivers, Austin","Satoransky, Tomas",203107,117,3
203085,"Rivers, Austin","Beal, Bradley",203078,95,9
203085,"Rivers, Austin","Morris, Markieff",202693,71,7
203085,"Rivers, Austin","Wall, John",202322,106,4
203085,"Rivers, Austin","Smith, Jason",201160,15,1
203085,"Rivers, Austin","Green, Jeff",201145,97,11
203085,"Rivers, Austin","Mahinmi, Ian",101133,21,0
203085,"Rivers, Austin","Howard, Dwight",2730,4,0
202702,"Faried, Kenneth","Kurucs, Rodions",1629066,5,0
202702,"Faried, Kenneth","Musa, Dzanan",1629058,5,0
202702,"Faried, Kenneth","Pinson, Theo",1629033,14,1
202702,"Faried, Kenneth","Graham, Treveon",1626203,2,0
202702,"Faried, Kenneth","Hollis-Jefferson, Rondae",1626178,7,0
202702,"Faried, Kenneth","Russell, D'Angelo",1626156,8,0
202702,"Faried, Kenneth","Dinwiddie, Spencer",203915,12,0
202702,"Faried, Kenneth","Napier, Shabazz",203894,53,0
202702,"Faried, Kenneth","Crabbe, Allen",203459,6,0
202702,"Faried, Kenneth","Davis, Ed",202334,4,0
202702,"Faried, Kenneth","Carroll, DeMarre",201960,3,0
202702,"Faried, Kenneth","Dudley, Jared",201162,3,1
202702,"Faried, Kenneth","Chiozza, Chris",1629185,18,1
202702,"Faried, Kenneth","Clark, Gary",1629109,7,0
202702,"Faried, Kenneth","House Jr., Danuel",1627863,11,1
202702,"Faried, Kenneth","Capela, Clint",203991,4,1
202702,"Faried, Kenneth","Ennis III, James",203516,8,0
202702,"Faried, Kenneth","Rivers, Austin",203085,82,0
202702,"Faried, Kenneth","Shumpert, Iman",202697,5,0
